,Global,Local,TSER(SMOTE),TSER(ADASYN),TSER(BSMOTE),TSER(NM),Horizon
0,0.839533960274362,0.8656738316271093,0.8296417372768535,0.8431840138200041,0.8040559030742465,0.868836137407322,1
1,0.9460386003196751,0.9731161886040797,0.9187499969522985,0.9044108654726426,0.9129998287938925,0.934482631638162,2
2,0.8320937339996995,0.8895687905147417,0.8245512116701684,0.8165112806306448,0.8035957848329288,0.8772731459310343,3
3,0.8475326073541567,0.8444936321680244,0.8478882971339289,0.8600626191447918,0.8397674554714247,0.8355148831891794,4
4,0.8280879370360508,0.8365529739365304,0.8055468982797614,0.8088416576548982,0.817411777822975,0.8619517881651002,5
5,0.8190047831039967,0.8653434959575249,0.809142394207857,0.8029024908990726,0.797857095959346,0.8879283794663252,6
6,0.8293427516397437,0.8684497969057058,0.8093781038332856,0.8145713134779183,0.8121659923831531,0.9230006771209001,7
7,0.9345519074418884,0.9441425755781555,0.8843168459318784,0.873263441815244,0.8762707118957163,0.9162405048491061,8
8,0.9498105358959563,0.93772403944738,0.9129003491952029,0.9071251612591201,0.909233379319163,0.9466161011515112,9
9,0.8780462918683514,0.9123202816755562,0.8666585485553778,0.859217078805069,0.8713082293630252,0.956388170088426,10
10,0.8791271459984941,0.9708720925372637,0.878369158499934,0.8698983326181685,0.8827210058433895,0.9529055414199775,11
11,0.8904749206492939,0.9356762969307474,0.8773988534218062,0.8847950045692559,0.8939612234418992,0.9614502380466992,12
12,0.8909288471598704,0.9616948657590643,0.8655777009750908,0.875912041419641,0.8879055252304344,0.9826702122043531,13
13,0.8988805057515571,0.9734634310141922,0.8862822605229379,0.8873181476505444,0.8835514725233308,0.9072455021150713,14
